id,object_id,change_id,change_id_end,type_id,value,update_date,start_date,end_date,raw_attributes
376009302,67036019,99957801,0,13,453740000000000075820095000000000,2017-12-18,1900-01-01,2079-06-06,"{""ID"": ""376009302"", ""VALUE"": ""453740000000000075820095000000000"", ""TYPEID"": ""13"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99957801"", ""OBJECTID"": ""67036019"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2017-12-18"", ""CHANGEIDEND"": ""0""}"
376010003,67036019,99957801,0,15,95,2017-12-18,1900-01-01,2079-06-06,"{""ID"": ""376010003"", ""VALUE"": ""95"", ""TYPEID"": ""15"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99957801"", ""OBJECTID"": ""67036019"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2017-12-18"", ""CHANGEIDEND"": ""0""}"
1394601519,67036019,505522591,0,19,1,2023-06-11,2023-06-11,2079-06-06,"{""ID"": ""1394601519"", ""VALUE"": ""1"", ""TYPEID"": ""19"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""505522591"", ""OBJECTID"": ""67036019"", ""STARTDATE"": ""2023-06-11"", ""UPDATEDATE"": ""2023-06-11"", ""CHANGEIDEND"": ""0""}"
1438537185,67036019,542984020,0,21,45374000,2023-09-23,2023-09-23,2079-06-06,"{""ID"": ""1438537185"", ""VALUE"": ""45374000"", ""TYPEID"": ""21"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""542984020"", ""OBJECTID"": ""67036019"", ""STARTDATE"": ""2023-09-23"", ""UPDATEDATE"": ""2023-09-23"", ""CHANGEIDEND"": ""0""}"
376095390,67054680,99983162,0,1,7704,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""376095390"", ""VALUE"": ""7704"", ""TYPEID"": ""1"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99983162"", ""OBJECTID"": ""67054680"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
376096152,67054680,99983162,0,2,7704,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""376096152"", ""VALUE"": ""7704"", ""TYPEID"": ""2"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99983162"", ""OBJECTID"": ""67054680"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
376097286,67054680,99983162,0,5,119002,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""376097286"", ""VALUE"": ""119002"", ""TYPEID"": ""5"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99983162"", ""OBJECTID"": ""67054680"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
376097283,67054680,99983162,0,6,45286552000,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""376097283"", ""VALUE"": ""45286552000"", ""TYPEID"": ""6"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99983162"", ""OBJECTID"": ""67054680"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
376096715,67054680,99983162,0,7,45374000,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""376096715"", ""VALUE"": ""45374000"", ""TYPEID"": ""7"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99983162"", ""OBJECTID"": ""67054680"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
729143491,67054680,197140649,0,8,77:01:0001047:1015,2021-07-21,2021-07-21,2079-06-06,"{""ID"": ""729143491"", ""VALUE"": ""77:01:0001047:1015"", ""TYPEID"": ""8"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""197140649"", ""OBJECTID"": ""67054680"", ""STARTDATE"": ""2021-07-21"", ""UPDATEDATE"": ""2021-07-21"", ""CHANGEIDEND"": ""0""}"
376097289,67054680,99983162,0,13,453740000000000075820018000000000,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""376097289"", ""VALUE"": ""453740000000000075820018000000000"", ""TYPEID"": ""13"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99983162"", ""OBJECTID"": ""67054680"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
376097292,67054680,99983162,0,14,1,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""376097292"", ""VALUE"": ""1"", ""TYPEID"": ""14"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99983162"", ""OBJECTID"": ""67054680"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
376097882,67054680,99983162,0,15,18,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""376097882"", ""VALUE"": ""18"", ""TYPEID"": ""15"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99983162"", ""OBJECTID"": ""67054680"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
1394601454,67054680,505522526,0,19,1,2023-06-11,2023-06-11,2079-06-06,"{""ID"": ""1394601454"", ""VALUE"": ""1"", ""TYPEID"": ""19"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""505522526"", ""OBJECTID"": ""67054680"", ""STARTDATE"": ""2023-06-11"", ""UPDATEDATE"": ""2023-06-11"", ""CHANGEIDEND"": ""0""}"
1438712124,67054680,543158959,0,21,45374000,2023-09-23,2023-09-23,2079-06-06,"{""ID"": ""1438712124"", ""VALUE"": ""45374000"", ""TYPEID"": ""21"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""543158959"", ""OBJECTID"": ""67054680"", ""STARTDATE"": ""2023-09-23"", ""UPDATEDATE"": ""2023-09-23"", ""CHANGEIDEND"": ""0""}"
376105600,67057052,99986371,0,1,7704,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""376105600"", ""VALUE"": ""7704"", ""TYPEID"": ""1"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99986371"", ""OBJECTID"": ""67057052"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
376105605,67057052,99986371,0,2,7704,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""376105605"", ""VALUE"": ""7704"", ""TYPEID"": ""2"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99986371"", ""OBJECTID"": ""67057052"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
376105617,67057052,99986371,0,5,119002,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""376105617"", ""VALUE"": ""119002"", ""TYPEID"": ""5"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99986371"", ""OBJECTID"": ""67057052"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
376105615,67057052,99986371,0,6,45286552000,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""376105615"", ""VALUE"": ""45286552000"", ""TYPEID"": ""6"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99986371"", ""OBJECTID"": ""67057052"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
376105613,67057052,99986371,0,7,45374000,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""376105613"", ""VALUE"": ""45374000"", ""TYPEID"": ""7"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99986371"", ""OBJECTID"": ""67057052"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
729124983,67057052,197134098,0,8,77:01:0001046:1017,2021-07-21,2021-07-21,2079-06-06,"{""ID"": ""729124983"", ""VALUE"": ""77:01:0001046:1017"", ""TYPEID"": ""8"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""197134098"", ""OBJECTID"": ""67057052"", ""STARTDATE"": ""2021-07-21"", ""UPDATEDATE"": ""2021-07-21"", ""CHANGEIDEND"": ""0""}"
376105622,67057052,99986371,0,13,453740000000000075820012000000000,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""376105622"", ""VALUE"": ""453740000000000075820012000000000"", ""TYPEID"": ""13"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99986371"", ""OBJECTID"": ""67057052"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
376105625,67057052,99986371,0,14,1,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""376105625"", ""VALUE"": ""1"", ""TYPEID"": ""14"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99986371"", ""OBJECTID"": ""67057052"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
376105628,67057052,99986371,0,15,12,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""376105628"", ""VALUE"": ""12"", ""TYPEID"": ""15"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99986371"", ""OBJECTID"": ""67057052"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
